Sp.Scien.jetz,Sp.Eng.jetz,Sp.Scien.hbw,Sp.Eng.hbw,Match_jetz_birdlife,Order,strategy_3,distance_4,distance_quanti_RES0,distance_quanti_ALL
Abeillia_abeillei,Emerald-chinned-Hummingbird,Abeillia_abeillei,Emerald-chinned-Hummingbird,Abeillia_abeillei,CAPRIMULGIFORMES,resident,resident,0,130.328852494861
Abroscopus_albogularis,Rufous-faced-Warbler,Abroscopus_albogularis,Rufous-faced-Warbler,Abroscopus_albogularis,PASSERIFORMES,resident,resident,0,407.615780815833
Abroscopus_schisticeps,Black-faced-Warbler,Abroscopus_schisticeps,Black-faced-Warbler,Abroscopus_schisticeps,PASSERIFORMES,resident,resident,0,299.769703874779
Abroscopus_superciliaris,Yellow-bellied-Warbler,Abroscopus_superciliaris,Yellow-bellied-Warbler,Abroscopus_superciliaris,PASSERIFORMES,resident,resident,0,612.812083687553
Aburria_aburri,Wattled-Guan,Aburria_aburri,Wattled-Guan,Aburria_aburri,GALLIFORMES,resident,resident,0,259.180476918292
Acanthagenys_rufogularis,Spiny-cheeked-Honeyeater,Acanthagenys_rufogularis,Spiny-cheeked-Honeyeater,Acanthagenys_rufogularis,PASSERIFORMES,resident,resident,0,617.370817062105
Acanthidops_bairdii,Peg-billed-Finch,Acanthidops_bairdi,Peg-billed-Finch,Acanthidops_bairdi,PASSERIFORMES,resident,resident,0,36.525786090428
Acanthisitta_chloris,Rifleman,Acanthisitta_chloris,Rifleman,Acanthisitta_chloris,PASSERIFORMES,resident,resident,0,148.712774999508
Acanthiza_apicalis,Inland-Thornbill,Acanthiza_apicalis,Inland-Thornbill,Acanthiza_apicalis,PASSERIFORMES,resident,resident,0,537.032091337029
Acanthiza_chrysorrhoa,Yellow-rumped-Thornbill,Acanthiza_chrysorrhoa,Yellow-rumped-Thornbill,Acanthiza_chrysorrhoa,PASSERIFORMES,resident,resident,0,596.729545035829
Acanthiza_ewingii,Tasmanian-Thornbill,Acanthiza_ewingii,Tasmanian-Thornbill,Acanthiza_ewingii,PASSERIFORMES,resident,resident,0,78.2861111001693
Acanthiza_inornata,Western-Thornbill,Acanthiza_inornata,Western-Thornbill,Acanthiza_inornata,PASSERIFORMES,resident,resident,0,100.187877730684
Acanthiza_iredalei,Slender-billed-Thornbill,Acanthiza_iredalei,Slender-billed-Thornbill,Acanthiza_iredalei,PASSERIFORMES,resident,resident,0,324.222101127151
Acanthiza_katherina,Mountain-Thornbill,Acanthiza_katherina,Mountain-Thornbill,Acanthiza_katherina,PASSERIFORMES,resident,resident,0,65.6169649863262
Acanthiza_lineata,Striated-Thornbill,Acanthiza_lineata,Striated-Thornbill,Acanthiza_lineata,PASSERIFORMES,resident,resident,0,279.066045269639
